"","group","pseudotime_bin_num","features","value","Geno","new_group"
"204","Kbk.3m.DMSO_PEG",21,"stage2_DAM2",0.516326321339303,"Kbk","Kbk.3m
(PEG)"
"205","Kbk.3m.DMSO_PEG",22,"homeostatic3",2.92725271852205,"Kbk","Kbk.3m
(PEG)"
"206","Kbk.3m.DMSO_PEG",22,"stage1_DAM1",1.49612832206976,"Kbk","Kbk.3m
(PEG)"
"207","Kbk.3m.DMSO_PEG",22,"stage2_DAM2",0.530703765083975,"Kbk","Kbk.3m
(PEG)"
"208","Kbk.3m.DMSO_PEG",23,"homeostatic3",2.91679226832841,"Kbk","Kbk.3m
(PEG)"
"209","Kbk.3m.DMSO_PEG",23,"stage1_DAM1",1.48626688412095,"Kbk","Kbk.3m
(PEG)"
"210","Kbk.3m.DMSO_PEG",23,"stage2_DAM2",0.508712944058423,"Kbk","Kbk.3m
(PEG)"
"211","Kbk.3m.DMSO_PEG",24,"homeostatic3",2.76283541952364,"Kbk","Kbk.3m
(PEG)"
"212","Kbk.3m.DMSO_PEG",24,"stage1_DAM1",1.6645587586253,"Kbk","Kbk.3m
(PEG)"
"213","Kbk.3m.DMSO_PEG",24,"stage2_DAM2",0.458641732793834,"Kbk","Kbk.3m
(PEG)"
"214","Kbk.3m.DMSO_PEG",25,"homeostatic3",2.95816401400226,"Kbk","Kbk.3m
(PEG)"
"215","Kbk.3m.DMSO_PEG",25,"stage1_DAM1",1.9044300597275,"Kbk","Kbk.3m
(PEG)"
"216","Kbk.3m.DMSO_PEG",25,"stage2_DAM2",0.727180855369376,"Kbk","Kbk.3m
(PEG)"
"217","Kbk.3m.TCF",1,"homeostatic3",2.86398157745039,"Kbk","Kbk.3m
(TCF)"
"218","Kbk.3m.TCF",1,"stage1_DAM1",1.67369391130217,"Kbk","Kbk.3m
(TCF)"
"219","Kbk.3m.TCF",1,"stage2_DAM2",0.475836802227847,"Kbk","Kbk.3m
(TCF)"
"220","Kbk.3m.TCF",2,"homeostatic3",2.89872512415813,"Kbk","Kbk.3m
(TCF)"
"221","Kbk.3m.TCF",2,"stage1_DAM1",1.50222942621301,"Kbk","Kbk.3m
(TCF)"
"222","Kbk.3m.TCF",2,"stage2_DAM2",0.481937359335947,"Kbk","Kbk.3m
(TCF)"
"223","Kbk.3m.TCF",3,"homeostatic3",2.94985508512767,"Kbk","Kbk.3m
(TCF)"
"224","Kbk.3m.TCF",3,"stage1_DAM1",1.60472497616346,"Kbk","Kbk.3m
(TCF)"
"225","Kbk.3m.TCF",3,"stage2_DAM2",0.524877370355067,"Kbk","Kbk.3m
(TCF)"
"226","Kbk.3m.TCF",4,"homeostatic3",2.91783831604903,"Kbk","Kbk.3m
(TCF)"
"227","Kbk.3m.TCF",4,"stage1_DAM1",1.63071301282096,"Kbk","Kbk.3m
(TCF)"
"228","Kbk.3m.TCF",4,"stage2_DAM2",0.539088844234725,"Kbk","Kbk.3m
(TCF)"
"229","Kbk.3m.TCF",6,"homeostatic3",2.96094539093557,"Kbk","Kbk.3m
(TCF)"
"230","Kbk.3m.TCF",6,"stage1_DAM1",1.74534848889537,"Kbk","Kbk.3m
(TCF)"
"231","Kbk.3m.TCF",6,"stage2_DAM2",0.58451817226794,"Kbk","Kbk.3m
(TCF)"
"232","Kbk.3m.TCF",7,"homeostatic3",2.93948087171314,"Kbk","Kbk.3m
(TCF)"
